id,nombre
2-0,COMUNA 1
2-1,COMUNA 1
2-10,COMUNA 10
2-11,COMUNA 11
2-12,COMUNA 12
2-13,COMUNA 13
2-14,COMUNA 14
2-15,COMUNA 15
2-2,COMUNA 2
2-3,COMUNA 3
2-4,COMUNA 4
2-5,COMUNA 5
2-6,COMUNA 6
2-7,COMUNA 7
2-8,COMUNA 8
2-9,COMUNA 9
6-105,BOLÍVAR
6-112,BRAGADO
6-119,BRANDSEN
6-126,CAMPANA
6-134,CAÑUELAS
6-14,ADOLFO GONZALES CHAVES
6-140,CAPITÁN SARMIENTO
6-147,CARLOS CASARES
6-154,CARLOS TEJEDOR
6-161,CARMEN DE ARECO
6-168,CASTELLI
6-175,COLÓN
6-182,CORONEL DE MARINA L. ROSALES
6-189,CORONEL DORREGO
6-196,CORONEL PRINGLES
6-203,CORONEL SUÁREZ
6-21,ALBERTI
6-210,CHACABUCO
6-217,CHASCOMÚS
6-224,CHIVILCOY
6-231,DAIREAUX
6-238,DOLORES
6-245,ENSENADA
6-252,ESCOBAR
6-260,ESTEBAN ECHEVERRÍA
6-266,EXALTACIÓN DE LA CRUZ
6-270,EZEIZA
6-274,FLORENCIO VARELA
6-277,FLORENTINO AMEGHINO
6-28,ALMIRANTE BROWN
6-280,GENERAL ALVARADO
6-287,GENERAL ALVEAR
6-294,GENERAL ARENALES
6-301,GENERAL BELGRANO
6-308,GENERAL GUIDO
6-315,GENERAL JUAN MADARIAGA
6-322,GENERAL LA MADRID
6-329,GENERAL LAS HERAS
6-336,GENERAL LAVALLE
6-343,GENERAL PAZ
6-35,AVELLANEDA
6-351,GENERAL PINTO
6-357,GENERAL PUEYRREDÓN
6-364,GENERAL RODRÍGUEZ
6-371,GENERAL SAN MARTÍN
6-385,GENERAL VIAMONTE
6-392,GENERAL VILLEGAS
6-399,GUAMINÍ
6-406,HIPÓLITO YRIGOYEN
6-408,HURLINGHAM
6-410,ITUZAINGÓ
6-412,JOSÉ C. PAZ
6-413,JUNÍN
6-42,AYACUCHO
6-420,LA COSTA
6-427,LA MATANZA
6-434,LANÚS
6-441,LA PLATA
6-448,LAPRIDA
6-455,LAS FLORES
6-462,LEANDRO N. ALEM
6-466,LEZAMA
6-469,LINCOLN
6-476,LOBERÍA
6-483,LOBOS
6-49,AZUL
6-490,LOMAS DE ZAMORA
6-497,LUJÁN
6-505,MAGDALENA
6-511,MAIPÚ
6-515,MALVINAS ARGENTINAS
6-518,MAR CHIQUITA
6-525,MARCOS PAZ
6-532,MERCEDES
6-539,MERLO
6-547,MONTE
6-553,MONTE HERMOSO
6-56,BAHÍA BLANCA
6-560,MORENO
6-568,MORÓN
6-574,NAVARRO
6-58,QUILMES
6-581,NECOCHEA
6-588,9 DE JULIO
6-595,OLAVARRÍA
6-602,PATAGONES
6-609,PEHUAJÓ
6-616,PELLEGRINI
6-623,PERGAMINO
6-63,BALCARCE
6-630,PILA
6-638,PILAR
6-644,PINAMAR 
6-648,PRESIDENTE PERÓN
6-651,PUÁN
6-655,PUNTA INDIO
6-658,QUILMES
6-665,RAMALLO
6-672,RAUCH
6-679,RIVADAVIA
6-686,ROJAS
6-693,ROQUE PÉREZ
6-7,ADOLFO ALSINA
6-70,BARADERO
6-700,SAAVEDRA
6-707,SALADILLO
6-714,SALTO
6-721,SALLIQUELÓ
6-728,SAN ANDRÉS DE GILES
6-735,SAN ANTONIO DE ARECO
6-742,SAN CAYETANO
6-749,SAN FERNANDO
6-756,SAN ISIDRO
6-760,SAN MIGUEL
6-763,SAN NICOLÁS
6-77,ARRECIFES
6-770,SAN PEDRO
6-778,SAN VICENTE
6-784,SUIPACHA
6-791,TANDIL
6-798,TAPALQUÉ
6-805,TIGRE
6-812,TORDILLO
6-819,TORNQUIST
6-826,TRENQUE LAUQUEN
6-833,TRES ARROYOS
6-84,BENITO JUÁREZ
6-840,TRES DE FEBRERO
6-847,TRES LOMAS 
6-854,25 DE MAYO
6-861,VICENTE LÓPEZ
6-868,VILLA GESELL 
6-875,VILLARINO
6-882,ZÁRATE 
6-91,BERAZATEGUI
6-98,BERISSO
10-105,TINOGASTA
10-112,VALLE VIEJO
10-14,ANCASTI
10-21,ANDALGALÁ
10-28,ANTOFAGASTA DE LA SIERRA
10-35,BELÉN
10-42,CAPAYÁN
10-49,CAPITAL
10-56,EL ALTO
10-63,FRAY MAMERTO ESQUIÚ
10-7,AMBATO
10-70,LA PAZ
10-77,PACLÍN
10-84,POMÁN
10-91,SANTA MARÍA
10-98,SANTA ROSA
14-105,RÍO PRIMERO
14-112,RÍO SECO
14-119,RÍO SEGUNDO
14-126,SAN ALBERTO
14-133,SAN JAVIER
14-14,CAPITAL
14-140,SAN JUSTO
14-147,SANTA MARÍA
14-154,SOBREMONTE
14-161,TERCERO ARRIBA
14-168,TOTORAL
14-175,TULUMBA
14-182,UNIÓN
14-21,COLÓN
14-28,CRUZ DEL EJE
14-35,GENERAL ROCA
14-42,GENERAL SAN MARTÍN
14-49,ISCHILÍN
14-56,JUÁREZ CELMAN
14-63,MARCOS JUÁREZ
14-7,CALAMUCHITA
14-70,MINAS
14-77,POCHO
14-84,PRESIDENTE ROQUE SÁENZ PEÑA
14-91,PUNILLA
14-98,RÍO CUARTO
18-105,MERCEDES
18-112,MONTE CASEROS
18-119,PASO DE LOS LIBRES
18-126,SALADAS
18-133,SAN COSME
18-14,BERÓN DE ASTRADA
18-140,SAN LUIS DEL PALMAR
18-147,SAN MARTÍN
18-154,SAN MIGUEL
18-161,SAN ROQUE
18-168,SANTO TOMÉ
18-175,SAUCE
18-21,CAPITAL
18-28,CONCEPCIÓN
18-35,CURUZÚ CUATIÁ
18-42,EMPEDRADO
18-49,ESQUINA
18-56,GENERAL ALVEAR
18-63,GENERAL PAZ
18-7,BELLA VISTA
18-70,GOYA
18-77,ITATÍ
18-84,ITUZAINGÓ
18-91,LAVALLE
18-98,MBURUCUYÁ
22-105,9 DE JULIO
22-112,O'HIGGINS
22-119,PRESIDENCIA DE LA PLAZA
22-126,1º DE MAYO
22-133,QUITILIPI
22-14,BERMEJO
22-140,SAN FERNANDO
22-147,SAN LORENZO
22-154,SARGENTO CABRAL
22-161,TAPENAGÁ
22-168,25 DE MAYO
22-21,COMANDANTE FERNÁNDEZ
22-28,CHACABUCO
22-36,12 DE OCTUBRE
22-39,2 DE ABRIL
22-43,FRAY JUSTO SANTA MARÍA DE ORO
22-49,GENERAL BELGRANO
22-56,GENERAL DONOVAN
22-63,GENERAL GÜEMES
22-7,ALMIRANTE BROWN
22-70,INDEPENDENCIA
22-77,LIBERTAD
22-84,LIBERTADOR GENERAL SAN MARTÍN
22-91,MAIPÚ
22-98,MAYOR LUIS J. FONTANA
26-105,TELSEN
26-14,CUSHAMEN
26-21,ESCALANTE
26-28,FLORENTINO AMEGHINO
26-35,FUTALEUFÚ
26-42,GAIMAN
26-49,GASTRE
26-56,LANGUIÑEO
26-63,MÁRTIRES
26-7,BIEDMA
26-70,PASO DE INDIOS
26-77,RAWSON
26-84,RÍO SENGUER
26-91,SARMIENTO 
26-98,TEHUELCHES
30-105,VICTORIA
30-113,VILLAGUAY
30-15,CONCORDIA
30-21,DIAMANTE
30-28,FEDERACIÓN
30-35,FEDERAL
30-42,FELICIANO
30-49,GUALEGUAY
30-56,GUALEGUAYCHÚ
30-63,ISLAS DEL IBICUY
30-70,LA PAZ
30-77,NOGOYÁ
30-8,COLÓN
30-84,PARANÁ
30-88,SAN SALVADOR
30-91,TALA
30-98,URUGUAY
34-14,FORMOSA
34-21,LAISHI
34-28,MATACOS
34-35,PATIÑO
34-42,PILAGÁS
34-49,PILCOMAYO
34-56,PIRANÉ
34-63,RAMÓN LISTA
34-7,BERMEJO
38-105,VALLE GRANDE
38-112,YAVI
38-14,EL CARMEN
38-21,DR. MANUEL BELGRANO
38-28,HUMAHUACA
38-35,LEDESMA
38-42,PALPALÁ 
38-49,RINCONADA
38-56,SAN ANTONIO
38-63,SAN PEDRO
38-7,COCHINOCA
38-70,SANTA BÁRBARA
38-77,SANTA CATALINA
38-84,SUSQUES
38-94,TILCARA
38-98,TUMBAYA
42-105,MARACÓ
42-112,PUELÉN
42-119,QUEMÚ QUEMÚ
42-126,RANCUL
42-133,REALICÓ
42-14,CALEU CALEU
42-140,TOAY
42-147,TRENEL
42-154,UTRACÁN
42-21,CAPITAL
42-28,CATRILÓ
42-35,CONHELO
42-42,CURACÓ
42-49,CHALILEO
42-56,CHAPALEUFÚ
42-63,CHICAL CO
42-7,ATREUCÓ
42-70,GUATRACHÉ
42-77,HUCAL
42-84,LIHUEL CALEL
42-91,LIMAY MAHUIDA
42-98,LOVENTUÉ
46-105,INDEPENDENCIA
46-112,ROSARIO VERA PEÑALOZA
46-119,SAN BLAS DE LOS SAUCES
46-126,SANAGASTA
46-14,CAPITAL
46-21,CASTRO BARROS
46-28,CORONEL FELIPE VARELA
46-35,CHAMICAL 
46-42,CHILECITO 
46-49,FAMATINA 
46-56,GENERAL ANGEL V. PEÑALOZA
46-63,GENERAL BELGRANO
46-7,ARAUCO
46-70,GENERAL JUAN F. QUIROGA
46-77,GENERAL LAMADRID
46-84,GENERAL OCAMPO
46-91,GENERAL SAN MARTÍN
46-98,VINCHINA
50-105,SAN RAFAEL
50-112,SANTA ROSA
50-119,TUNUYÁN
50-126,TUPUNGATO
50-14,GENERAL ALVEAR
50-21,GODOY CRUZ
50-28,GUAYMALLÉN
50-35,JUNÍN
50-42,LA PAZ 
50-49,LAS HERAS
50-56,LAVALLE
50-63,LUJÁN DE CUYO
50-7,CAPITAL
50-70,MAIPÚ
50-77,MALARGÜE
50-84,RIVADAVIA
50-91,SAN CARLOS
50-98,SAN MARTÍN
54-105,SAN JAVIER
54-112,SAN PEDRO
54-119,25 DE MAYO
54-14,CAINGUÁS
54-21,CANDELARIA
54-28,CAPITAL
54-35,CONCEPCIÓN 
54-42,ELDORADO
54-49,GENERAL MANUEL BELGRANO
54-56,GUARANÍ
54-63,IGUAZÚ
54-7,APÓSTOLES
54-70,LEANDRO N. ALEM
54-77,LIBERTADOR GRL. SAN MARTÍN
54-84,MONTECARLO
54-91,OBERÁ
54-98,SAN IGNACIO
58-105,PICUNCHES
58-112,ZAPALA 
58-113,ZAPALA 
58-14,AÑELO
58-21,CATÁN LIL
58-28,COLLÓN CURÁ
58-35,CONFLUENCIA
58-42,CHOS MALAL
58-49,HUILICHES
58-56,LÁCAR
58-63,LONCOPUÉ
58-7,ALUMINÉ
58-70,LOS LAGOS
58-77,MINAS
58-84,ÑORQUÍN
58-91,PEHUENCHES
58-98,PICÚN LEUFÚ
62-14,AVELLANEDA
62-21,BARILOCHE
62-28,CONESA
62-35,EL CUY
62-42,GENERAL ROCA
62-49,9 DE JULIO
62-56,ÑORQUINCÓ
62-63,PICHI MAHUIDA
62-7,ADOLFO ALSINA
62-70,PILCANIYEU
62-77,SAN ANTONIO
62-84,VALCHETA
62-91,25 DE MAYO
66-105,LOS ANDES
66-112,METÁN
66-119,MOLINOS
66-126,ORÁN
66-133,RIVADAVIA
66-14,CACHI
66-140,ROSARIO DE LA FRONTERA
66-147,ROSARIO DE LERMA
66-154,SAN CARLOS
66-161,SANTA VICTORIA
66-21,CAFAYATE
66-28,CAPITAL
66-35,CERRILLOS 
66-42,CHICOANA
66-49,GENERAL GÜEMES
66-56,GRL. JOSÉ DE SAN MARTÍN
66-63,GUACHIPAS
66-7,ANTA
66-70,IRUYA
66-77,LA CALDERA
66-84,LA CANDELARIA
66-91,LA POMA
66-98,LA VIÑA
70-105,SARMIENTO
70-112,ULLÚM
70-119,VALLE FÉRTIL
70-126,25 DE MAYO
70-133,ZONDA
70-14,ANGACO
70-21,CALINGASTA
70-28,CAPITAL
70-35,CAUCETE
70-42,CHIMBAS
70-49,IGLESIA
70-56,JÁCHAL
70-63,9 DE JULIO
70-7,ALBARDÓN
70-70,POCITO
70-77,RAWSON
70-84,RIVADAVIA
70-91,SAN MARTÍN
70-98,SANTA LUCÍA
74-14,BELGRANO
74-21,CORONEL PRINGLES
74-28,CHACABUCO
74-35,GENERAL PEDERNERA
74-42,GOBERNADOR DUPUY
74-49,JUNÍN
74-56,LA CAPITAL
74-63,LIBERTADOR GENERAL SAN MARTÍN
74-7,AYACUCHO
78-14,DESEADO
78-21,GÜER AIKE
78-28,LAGO ARGENTINO
78-35,LAGO BUENOS AIRES
78-42,MAGALLANES
78-49,RÍO CHICO
78-7,CORPEN AIKE
82-105,SAN JERÓNIMO
82-112,SAN JUSTO
82-119,SAN LORENZO
82-126,SAN MARTÍN
82-133,VERA
82-14,CASEROS
82-21,CASTELLANOS
82-28,CONSTITUCIÓN
82-35,GARAY
82-42,GENERAL LÓPEZ
82-49,GENERAL OBLIGADO
82-56,IRIONDO
82-63,LA CAPITAL
82-7,BELGRANO
82-70,LAS COLONIAS
82-77,9 DE JULIO
82-84,ROSARIO
82-91,SAN CRISTÓBAL
82-98,SAN JAVIER
86-105,LORETO
86-112,MITRE
86-119,MORENO
86-126,OJO DE AGUA
86-133,PELLEGRINI
86-14,ALBERDI
86-140,QUEBRACHOS
86-147,RÍO HONDO
86-154,RIVADAVIA
86-161,ROBLES
86-168,SALAVINA
86-175,SAN MARTÍN
86-182,SARMIENTO
86-189,SILÍPICA
86-21,ATAMISQUI
86-28,AVELLANEDA
86-35,BANDA
86-42,BELGRANO
86-49,CAPITAL
86-56,COPO
86-63,CHOYA
86-7,AGUIRRE
86-70,FIGUEROA
86-77,GENERAL TABOADA
86-84,GUASAYÁN
86-91,JIMÉNEZ
86-98,JUAN F. IBARRA
90-105,TAFÍ VIEJO
90-112,TRANCAS
90-119,YERBA BUENA
90-14,CRUZ ALTA
90-21,CHICLIGASTA
90-28,FAMAILLÁ
90-35,GRANEROS
90-42,JUAN BAUTISTA ALBERDI
90-49,LA COCHA
90-56,LEALES
90-63,LULES
90-7,BURRUYACÚ
90-70,MONTEROS
90-77,RÍO CHICO
90-84,CAPITAL
90-91,SIMOCA
90-98,TAFÍ DEL VALLE
94-14,USHUAIA
94-7,RÍO GRANDE
